,_id,bambini,pattinatori,descrizione,ultimo_aggiornam,link_imm_percorso
0,2313, Non votato, Si,"
Dal litorale fino ai piedi delle montagne, dal arrivo si inizia la scalata verso San Giacomo

"," 26 maggio 10

",https://www.piste-ciclabili.com/print/2313-alba_adriatica_(uscita_a_14_val_vibrata)_-_bivio_piano_risteccio
1,1569, Non votato, Si,"
Dal mare al entroterra sulle colline che circondano il torrente Vibbrata.

Percorso semplice adatto a tutti.

Pendenze minime.



"," 7 maggio 10

",https://www.piste-ciclabili.com/print/1569-alba_adriatica_-_corropoli
2,2591, No, Si,"
Comoda ciclabile in asfalto, con illuminazione e staccionata in legno.

Parte dal ponte ciclopedonale sul Vibrata, quindi è collegata con la Ciclovia Adriatica (Bicitalia n.6). La foce è oasi aviofaunistica adatta albirdwatching.

"," 20 settembre 10

",https://www.piste-ciclabili.com/print/2591-alba_adriatica:_ciclabile_del_vibrata
3,3801, Si, No,"
Pista ciclabile ancora in via di realizzazione ma, già percorribile in tutta la sua lunghezza, sfruttando alcuni tratti di strade urbane ed extraurbane.

"," 26 maggio 12

",https://www.piste-ciclabili.com/print/3801-altipiano_delle_rocche:_ciclabile
4,5758, No, No,"
anello vario isola

"," 14 febbraio 16

",https://www.piste-ciclabili.com/print/5758-anello_isola_del_gran_sasso
5,5659, No, No,"
Percorso bellissimo nel Parco Nazionale dei Monti Simbruini.

Si arriva a campo Staffi con auto privata ao bus ATL (caricano le biciclette) che parte da Altipiani di Arcinazzo.

Il percors e' prevalentemente in una enorme faggeta con leggeri dislivelli. Prevalentemente in discesa fino ai Piani della Renga, un larghissino pascolo. Poi si prende la strada asfaltata che riporta a Campo Staffi o si devia verso la Fonte della Moscosa per un percorso nel bosco fino a Val Granara.

Quindi strada asfaltata fino ad Altipiani di Arcinazzo o ritorno a Campo Staffi col bus ATL o via strada.

"," 11 settembre 15

",https://www.piste-ciclabili.com/print/5659-arcinazzo_-_campo_-_staffi_-_renga_-_filettino_(anell
6,5769, No, No,"
Percorso bellissimo nel Parco Nazionale dei Monti Simbruini.
Si arriva a campo Staffi con auto privata ao bus ATL (caricano le biciclette) che parte da Altipiani di Arcinazzo.

Il percors e' prevalentemente in una enorme faggeta con leggeri dislivelli. Prevalentemente in discesa fino ai Piani della Renga, un larghissino pascolo.

Poi si prende la strada asfaltata che riporta a Campo Staffi o si devia verso la Fonte della Moscosa per un percorso nel bosco fino a Val Granara.

Quindi strada asfaltata fino ad Altipiani di Arcinazzo o ritorno a Campo Staffi col bus ATL o via strada.

"," 21 febbraio 16

",https://www.piste-ciclabili.com/print/5769-arcinazzo_campo_staffi_renga_filettino_arcinazzo
7,3585, Si, Si,"
la seconda pista ciclabile che si è costruita ad Avezzano è il frutto di molte lotte sostenute dal Comitato Mobilità Sostenibile Marsicana Onlus.

La pista doveva partire da Corso della Libertà, passare sotto la stazione, quindi via Allende e ricongiungersi al pezzo esistente.

Purtroppo i politici hanno voluto togliere questo pezzo importantissimo che univa 2 pezzi di città divisi oggi dalla stazione ferroviaria.

"," 26 gennaio 12

",https://www.piste-ciclabili.com/print/3585-avezzano:_ciclabile_nord
8,1887, Si, No,"
Per i lavori di ampliamento stradale il comune ha fatto costruire questi pochi metri di pista ciclabile...un insulto più che un occasione di sviluppo della mobilità sostenibile.

Potrebbe essere estesa stabilendo un asse nord-sud di Avezzano. Potrebbe essere un ottima soluzione per collegare il centro cittadino al nucleo industriale in modo da favorire chi voglia recarsi al lavoro in bici.

"," 14 novembre 09

",https://www.piste-ciclabili.com/print/1887-avezzano:_primi_100m_di_ciclabile
9,2290, No, No,"
Corsia ciclabile ricavata in carreggiata, su asfalto con fondo pitturato verde.

"," 23 maggio 10

",https://www.piste-ciclabili.com/print/2290-bivio_corropoli
